subject,type,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,stim_left_name_feedback,stim_right_name_feedback,optimal_stim,optimal_choice,n,BlockInstr_disp.started_raw,BlockInstr_disp.stopped_raw,feedback_text.started_mean,feedback_text.started_raw,feedback_text.started_std,feedback_text.stopped_raw,iti.started_mean,iti.started_raw,iti.started_std,iti.stopped_raw,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,left.started_mean,left.started_raw,left.started_std,left.stopped_raw,left_feedback.started_mean,left_feedback.started_raw,left_feedback.started_std,left_feedback.stopped_raw,right.started_mean,right.started_raw,right.started_std,right.stopped_raw,right_feedback.started_mean,right_feedback.started_raw,right_feedback.started_std,right_feedback.stopped_raw,order
0,0,self,win,self_win,1,Play to WIN points,64,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,1.0,315.3739592299986,,317.49700927734375,317.49700927734375,0.0,,316.9886169433594,316.9886169433594,0.0,,1.0,1.0,0.0,'left',0.48096001148223877,0.48096001148223877,0.0,315.92333984375,315.92333984375,0.0,,315.92333984375,315.92333984375,0.0,,316.48468017578125,316.48468017578125,0.0,,315.92333984375,315.92333984375,0.0,,316.48468017578125,316.48468017578125,0.0,,64.0
0,0,self,win,self_win,1,Play to WIN points,65,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,1.0,319.0033683299986,,321.0008544921875,321.0008544921875,0.0,,320.50128173828125,320.50128173828125,0.0,,1.0,1.0,0.0,'left',0.35479819774627686,0.35479819774627686,0.0,319.5572204589844,319.5572204589844,0.0,,319.5572204589844,319.5572204589844,0.0,,319.9880065917969,319.9880065917969,0.0,,319.5572204589844,319.5572204589844,0.0,,319.9880065917969,319.9880065917969,0.0,,65.0
0,0,self,win,self_win,1,Play to WIN points,66,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,1.0,322.5159610299994,,324.4801330566406,324.4801330566406,0.0,,323.9803466796875,323.9803466796875,0.0,,1.0,1.0,0.0,'right',0.34862780570983887,0.34862780570983887,0.0,323.0658874511719,323.0658874511719,0.0,,323.0658874511719,323.0658874511719,0.0,,323.47833251953125,323.47833251953125,0.0,,323.0658874511719,323.0658874511719,0.0,,323.47833251953125,323.47833251953125,0.0,,66.0
0,0,self,win,self_win,1,Play to WIN points,67,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,1.0,325.99509072999865,,328.026123046875,328.026123046875,0.0,,327.526611328125,327.526611328125,0.0,,1.0,1.0,0.0,'left',0.38963571190834045,0.38963571190834045,0.0,326.54278564453125,326.54278564453125,0.0,,326.54278564453125,326.54278564453125,0.0,,327.0217590332031,327.0217590332031,0.0,,326.54278564453125,326.54278564453125,0.0,,327.0217590332031,327.0217590332031,0.0,,67.0
0,0,self,win,self_win,1,Play to WIN points,68,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot2_up.jpg,right,1.0,329.5411408299984,,331.8134460449219,331.8134460449219,0.0,,331.30572509765625,331.30572509765625,0.0,,0.0,0.0,0.0,'left',0.6507115960121155,0.6507115960121155,0.0,330.0851135253906,330.0851135253906,0.0,,330.0851135253906,330.0851135253906,0.0,,330.8055419921875,330.8055419921875,0.0,,330.0851135253906,330.0851135253906,0.0,,330.8055419921875,330.8055419921875,0.0,,68.0
0,0,self,win,self_win,1,Play to WIN points,69,stimuli/slot1_up.jpg,0,stimuli/slot2_up.jpg,1,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot2_up.jpg,left,1.0,333.32004642999857,,335.301025390625,335.301025390625,0.0,,334.8013916015625,334.8013916015625,0.0,,0.0,0.0,0.0,'right',0.35037729144096375,0.35037729144096375,0.0,333.87811279296875,333.87811279296875,0.0,,333.87811279296875,333.87811279296875,0.0,,334.3015441894531,334.3015441894531,0.0,,333.87811279296875,333.87811279296875,0.0,,334.3015441894531,334.3015441894531,0.0,,69.0
0,0,self,win,self_win,1,Play to WIN points,70,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,0,1,2,stimuli/slot1_up.jpg,stimuli/slot2_up.jpg,stimuli/slot1_down.jpg,stimuli/slot2_down.jpg,stimuli/slot1_up.jpg,left,1.0,336.8160053299995,,339.0054626464844,339.0054626464844,0.0,,338.49725341796875,338.49725341796875,0.0,,1.0,1.0,0.0,'left',0.5424906015396118,0.5424906015396118,0.0,337.3658142089844,337.3658142089844,0.0,,337.3658142089844,337.3658142089844,0.0,,337.98382568359375,337.98382568359375,0.0,,337.3658142089844,337.3658142089844,0.0,,337.98382568359375,337.98382568359375,0.0,,70.0
0,0,self,win,self_win,1,Play to WIN points,71,stimuli/slot1_up.jpg,1,stimuli/slot2_up.jpg,0,1,2,1,stimuli/slot2_up.jpg,stimuli/slot1_up.jpg,stimuli/slot2_down.jpg,stimuli/slot1_down.jpg,stimuli/slot1_up.jpg,right,1.0,340.5112257299985,,342.54278564453125,342.54278564453125,0.0,,342.04327392578125,342.04327392578125,0.0,,1.0,1.0,0.0,'right',0.4368276000022888,0.4368276000022888,0.0,341.029296875,341.029296875,0.0,,341.029296875,341.029296875,0.0,,341.54400634765625,341.54400634765625,0.0,,341.029296875,341.029296875,0.0,,341.54400634765625,341.54400634765625,0.0,,71.0

extraInfo
participant,00
date,2021_Feb_28_1628
expName,two-armed-bandit
psychopyVersion,2020.2.10
frameRate,60.10554533748281
